Qual alternativa abaixo refere-se a rede, comutação de pacotes:;Utiliza multiplexação estatística e divide a mensagem em pequenos blocos de dados;Ela faz um caminho direto entre transmissor e receptor (ponto a ponto);Cria uma ilusão de um caminho físico isolado;1
Muito conhecida como espinha dorsal da internet, e espalhada pelo mundo inteiro e que possui altíssima velocidade, nos diga qual é a função de uma rede backbone?;Oferecer maior segurança ao usuário;Interligar 1 ou mais LANs;Corresponde a uma LAN virtual;2
Você trabalha em uma empresa de TI, e você ficou responsável por um pedido de instalação de um cabo de comunicação (Cabo de par trançado) de uma sala para a outra. Seu colega informou que você pode instalar o cabo de par trançado juntamente com os cabos de energia elétrica. Neste caso, quais problemas futuros podem ocorrer se fizer a instalação deste cabo de par trançado em conjunto com os cabos elétricos?; Pode ocorrer ruídos e falhas de transmissão de dados devido ao campo eletromagnético; Não acontecerá nada com o mesmo, pois cabos de dados também transmitem energia; Ocorrera falhas de energia elétrica devido ao campo eletromagnético gerado por ambos os cabos;1
Sabemos que o modelo OSI é composto por camadas, quais são as camadas do modelo OSI?; Aplicação, Apresentação, Sessão, Transporte, rede, enlace e física.; Aplicação, Transporte, Rede, Enlace e Física.; Aplicação, Transporte, inter-rede e Interface de rede.;1
Qual o nome da topologia de rede tolerante a falhas, fácil de instalar e monitorar?;Topologia em barramento.;Topologia em estrela.;Topologia em anel.;2
Qual o protocolo de comunicação na rede é responsável pela resolução de nomes?;Protocolo ftp.;Protocolo html.;Protocolo dns.;3
Qual o nome do método usado para embaralhar suas mensagens na rede e torná-las anônimas até que cheguem ao destinatário;Telegrafia;Estereoscopia;Criptografia;3
Qual a principal função de um firewall na rede lan?;Detectar lentidão e gargalos de rede.;Proteger a rede lan através de regras criadas pelo administrador da rede.;Fazer com que uma rede megabit se torne gigabit melhorando o tráfego na rede lan.;2
Informe o conceito correto de rede de computadores;Um conjunto de arquivos compartilhados entre os usuários numa empresa.;O compartilhamento de fotos e vídeos através das redes sociais.;Um conjunto de dispositivos interconectados com a finalidade de trocar informações e compartilhar recursos;3
Um protocolo de rede é:;Um conjunto de regras predefinidas que devem ser seguidas pelos dispositivos para que a comunicação possa ocorrer.;Um conjunto de regras definidas pelo administrador da rede para que todos os usuários possam usufruir do compartilhamento de recursos.; Um conjunto de regras sobre o tipo de conteúdo que pode ser compartilhado pelos usuários.;1
Uma das vantagens da topologia de rede full mesh (malha) é:;O baixo custo de implementação, que compensa o desempenho inferior a uma topologia backbone.;Menor atraso e utilização de algoritmo de roteamento mais simples, devido não haver a necessidade de redirecionamento de pacotes.;Menor número de conexões necessárias em relação a uma topologia estrela;2
Segundo o modelo OSI, a função básica da camada de transporte é:;Determinar como os pacotes são roteados da origem até o destino.;Aceitar dados da camada acima dela, dividí-los em unidades menores, se preciso, repassar essas unidades à camada de rede e garantir que todos os fragmentos chegarão corretamente à outra extremidade.;Permitir que os usuários em diferentes máquinas estabeleçam sessões de comunicação entre eles.;2
Sobre o paradigma cliente-servidor, é correto afirmar que:;É o paradigma utilizado por programas de torrent.;Não é necessário utilizar um computador poderoso, pois a carga de trabalho é dividida entre vários computadores da rede. ;O processo-servidor deve ser executado o tempo todo, já o processo-cliente é iniciado quando o cliente solicita um serviço.;3
Hoje vivemos em tempos que a tecnologia está diariamente em nossas mãos, com isso vários aparelhos que existes tecnologia e que necessitam de dados para funcionar, normalmente não existem opções de rede cabeada apenas contém acesso via rede wi-fi, rede essas que é a principal e a mais utilizada hoje em dia pela a facilidade, porém essa rede que parece ser muito boa por sinal existe desvantagens, qual principal desvantagem que as redes wi-fi apresentam?;Baixa transferência de dados simultâneos; Instalação rápida;Varias topologias;1
Hoje em praticamente todas as empresas e de fundamental importância o uso de um equipamento para fazer o gerencia da rede interna, criando assim regras do que pode ou não pode ser acessando na tal rede. Que equipamento é esse?;Servidor de redes;Firewall;Banco de dados;2
Muitas vezes nos da parte de TI temos grandes desafios quando tratamos de cabeamento de redes dentro de empresas, com isso existe um equipamento que facilita a distribuição de Internet para diversos pontos. Qual equipamento é responsável por distribuir para vários pontos internet?;firewall bad;Switch;Servidor de regras computacionais;2
Hoje em dia vivemos atarefados e precisamos sempre de muita qualidade no sinal de Internet fornecido pelas empresas de telecom além da qualidade precisamos ter a disposição a velocidade contratada a disposição a qualquer momento. Tendo em vista instabilidade da conexão qual meio de transmissão de dados abaixo tem melhor desempenho de transmissão tanto de upload quando download?;Cabo óptico ;Via Radio ;Via Satélite;1
Qual o padrão de organismo com competência legal para normalização de redes e que pode ser baseado para estabelecer um padrão de nível internacional de mais alta distância?;PAN – Personal Area Network.;ISO – Internacional Standard Organisation.;IEEE - Institute of Electrical and Electronic Engineering.;2
Formada pelo conjunto dos bits mais significativos no endereçamento IPv4, qual nome dado ao número binário de 32 bits que indica a porção de um endereço IP usada como identificador da rede?;Protocolo ARP;Endereço Privativo.;Máscara de rede.;3
O paradigma de arquitetura de rede que compartilha os nós da rede surgiu para responder às necessidades de novas aplicações, sem a obrigação de um processo-servidor excetuando o tempo todo e esperando pela conexão dos processos clientes, é denominado:; Peer-to-peer (P2P);Processo cliente-servidor;Interface socket;1
Na topologia de rede, qual o tipo de topologia em que as informações são jogadas na rede, tramitando de dispositivo ao dispositivo até chegar ao dispositivo de destino e tem como vantagem a inexistência de perda de sinal e facilidade de identificação do ponto exato da falha?;Topologia em Barramento;Topologia em Anel;Topologia em Estrela;2
Caracterizada por empregar para a cifragem e a decifraça?o duas chaves distintas: uma chave pública e uma chave privada (secreta), esse modelo de Criptografia é a:;Criptografia Simétrica;Criptografia de gerenciamento de Chaves;Criptografia Assimétrica;3
Dentre as redes a seguir, qual delas compreende os backbones e linhas dedicadas?;LAN;WAN;MAN;2
Qual das seguintes desvantagens se refere à topologia do tipo estrela?;Falha no equipamento central paralisa toda a rede;Dificuldade de encontrar falhas;Lentidão e congestionamento de rede;1
Qual das seguintes camadas do modelo OSI, estão numa mesma camada no modelo TCP/IP?;Transporte, enlace, rede;Enlace, rede, apresentação;Aplicação, apresentação, sessão;3
